,R. salebrosus,descriptions
PF04192,1,Utp21 specific WD40 associated putative domain
PF08635,1,Putative oxidoreductase C terminal domain
PF01249,1,Ribosomal protein S21e
PF06884,1,Protein of unknown function (DUF1264)
PF04101,1,Glycosyltransferase family 28 C-terminal domain
PF14748,1,Pyrroline-5-carboxylate reductase dimerisation
PF08648,1,U4/U6.U5 small nuclear ribonucleoproteins
PF09184,1,PPP4R2
PF17125,1,N-terminal domain of 16S rRNA methyltransferase RsmF
PF04930,1,FUN14 family
PF08650,1,DASH complex subunit Dad4
PF10181,1,"GPI-GlcNAc transferase complex, PIG-H component"
PF12584,1,"Trafficking protein particle complex subunit 10, TRAPPC10"
PF14821,1,Threonine synthase N terminus
PF00733,1,Asparagine synthase
PF07574,1,Nse1 non-SMC component of SMC5-6 complex
PF08746,1,RING-like domain
PF04104,1,"Eukaryotic and archaeal DNA primase, large subunit"
PF12436,1,ICP0-binding domain of Ubiquitin-specific protease 7
PF14533,1,Ubiquitin-specific protease C-terminal
PF09802,1,Preprotein translocase subunit Sec66
PF01603,1,Protein phosphatase 2A regulatory B subunit (B56 family)
PF02910,1,Fumarate reductase flavoprotein C-term
PF02410,1,Ribosomal silencing factor during starvation
PF07766,1,"LETM1-like, RBD"
PF04931,1,DNA polymerase phi
PF07542,1,ATP12 chaperone protein
PF01213,1,Adenylate cyclase associated (CAP) N terminal
PF08603,1,Adenylate cyclase associated (CAP) C terminal
PF07264,1,Etoposide-induced protein 2.4 (EI24)
PF01379,1,"Porphobilinogen deaminase, dipyromethane cofactor binding domain"
PF03900,1,"Porphobilinogen deaminase, C-terminal domain"
PF08767,1,CRM1 C terminal
PF18777,1,Chromosome region maintenance or exportin repeat
PF18784,1,CRM1 / Exportin repeat 2
PF18787,1,CRM1 / Exportin repeat 3
PF07960,1,CBP4
PF04925,1,SHQ1 protein
PF12253,1,Chromatin assembly factor 1 subunit A
PF08286,1,Spc24 subunit of Ndc80
PF11274,1,Protein of unknown function (DUF3074)
PF01016,1,Ribosomal L27 protein
PF01331,1,"mRNA capping enzyme, catalytic domain"
PF03919,1,"mRNA capping enzyme, C-terminal domain"
PF01466,1,"Skp1 family, dimerisation domain"
PF12456,1,Inositol phosphatase
PF08213,1,"Mitochondrial mRNA-processing protein COX24, C-terminal"
PF07928,1,Vps54-like protein
PF02772,1,"S-adenosylmethionine synthetase, central domain"
PF02773,1,"S-adenosylmethionine synthetase, C-terminal domain"
PF00438,1,"S-adenosylmethionine synthetase, N-terminal domain"
PF06602,1,Myotubularin-like phosphatase domain
PF08315,1,cwf18 pre-mRNA splicing factor
PF06421,1,GTP-binding protein LepA C-terminus
PF00290,1,Tryptophan synthase alpha chain
PF01876,1,RNase P subunit p30
PF06807,1,Pre-mRNA cleavage complex II protein Clp1
PF16573,1,N-terminal beta-sandwich domain of polyadenylation factor
PF08502,1,LeuA allosteric (dimerisation) domain
PF04109,1,Autophagy protein ATG9
PF01910,1,Thiamine-binding protein
PF02731,1,SKIP/SNW domain
PF11711,1,Inner membrane protein import complex subunit Tim54
PF01111,1,Cyclin-dependent kinase regulatory subunit
PF16187,1,Middle or third domain of peptidase_M16
PF04057,1,"Replication factor-A protein 1, N-terminal domain"
PF08646,1,Replication factor-A C terminal domain
PF16900,1,Replication protein A OB domain
PF06090,1,Inositol-pentakisphosphate 2-kinase
PF08656,1,DASH complex subunit Dad3
PF05022,1,"SRP40, C-terminal domain"
PF00885,1,"6,7-dimethyl-8-ribityllumazine synthase"
PF11838,1,ERAP1-like C-terminal domain
PF03291,1,mRNA capping enzyme
PF04603,1,Ran-interacting Mog1 protein
PF03801,1,HEC/Ndc80p family
PF18077,1,Domain of unknown function (DUF5595)
PF14617,1,U3-containing 90S pre-ribosomal complex subunit
PF12230,1,Pre-mRNA splicing factor PRP21 like protein
PF01709,1,Transcriptional regulator
PF00334,1,Nucleoside diphosphate kinase
PF02271,1,Ubiquinol-cytochrome C reductase complex 14kD subunit
PF18018,1,DNA polymerase delta subunit OB-fold domain
PF02991,1,Autophagy protein Atg8 ubiquitin like
PF03200,1,Glycosyl hydrolase family 63 C-terminal domain
PF16923,1,Glycosyl hydrolase family 63 N-terminal domain
PF02900,1,Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF06081,1,Aromatic acid exporter family member 1
PF08318,1,COG4 transport protein
PF10209,1,Uncharacterized conserved protein (DUF2340)
PF00781,1,Diacylglycerol kinase catalytic domain
PF07956,1,Protein of Unknown function (DUF1690)
PF11022,1,ATP synthase subunit K
PF10356,1,Protein of unknown function (DUF2034)
PF11093,1,Mitochondrial export protein Som1
PF00670,1,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain"
PF04795,1,PAPA-1-like conserved region
PF12923,1,Ribosomal RNA-processing protein 7 (RRP7) C-terminal domain
PF17799,1,Rrp7 RRM-like N-terminal domain
PF04749,1,PLAC8 family
PF00342,1,Phosphoglucose isomerase
PF13555,1,P-loop containing region of AAA domain
PF12710,1,haloacid dehalogenase-like hydrolase
PF05153,1,Myo-inositol oxygenase
PF01092,1,Ribosomal protein S6e
PF08069,1,Ribosomal S13/S15 N-terminal domain
PF00750,1,tRNA synthetases class I (R)
PF05746,1,DALR anticodon binding domain
PF05255,1,Uncharacterised protein family (UPF0220)
PF00476,1,DNA polymerase family A
PF18136,1,DNA mitochondrial polymerase exonuclease domain
PF04981,1,NMD3 family
PF03568,1,Peptidase family C50
PF12922,1,"non-SMC mitotic condensation complex subunit 1, N-term"
PF01194,1,RNA polymerases N / 8 kDa subunit
PF00659,1,POLO box duplicated region
PF12719,1,"Nuclear condensing complex subunits, C-term domain"
PF05631,1,"Sugar-tranasporters, 12 TM"
PF02330,1,Mitochondrial glycoprotein
PF13359,1,DDE superfamily endonuclease
PF03447,1,"Homoserine dehydrogenase, NAD binding domain"
PF13865,1,C-terminal duplication domain of Friend of PRMT1
PF10375,1,GRAB domain
PF03937,1,Flavinator of succinate dehydrogenase
PF04840,1,"Vps16, C-terminal region"
PF04841,1,"Vps16, N-terminal region"
PF13934,1,Nuclear pore complex assembly
PF05176,1,ATP10 protein
PF09177,1,"Syntaxin 6, N-terminal"
PF03839,1,Translocation protein Sec62
PF18126,1,Mitochondrial ribosomal protein mL59
PF04098,1,Rad52/22 family double-strand break repair protein
PF10377,1,Autophagy-related protein 11
PF08588,1,Protein of unknown function (DUF1769)
PF12621,1,"Extracellular tail, of 10TM putative phosphate transporter"
PF06957,1,Coatomer (COPI) alpha subunit C-terminus
PF10510,1,Phosphatidylinositol-glycan biosynthesis class S protein
PF10456,1,WASP-binding domain of Sorting nexin protein
PF05011,1,"Lariat debranching enzyme, C-terminal domain"
PF11937,1,Protein of unknown function (DUF3455)
PF02585,1,GlcNAc-PI de-N-acetylase
PF12110,1,Nuclear protein 96
PF10200,1,"NADH:ubiquinone oxidoreductase, NDUFS5-15kDa"
PF01896,1,DNA primase small subunit
PF04622,1,ERG2 and Sigma1 receptor like protein
PF06703,1,Microsomal signal peptidase 25 kDa subunit (SPC25)
PF03345,1,Oligosaccharyltransferase 48 kDa subunit beta
PF07217,1,Heterokaryon incompatibility protein Het-C
PF08510,1,PIG-P
PF01812,1,5-formyltetrahydrofolate cyclo-ligase family
PF00233,1,3'5'-cyclic nucleotide phosphodiesterase
PF01380,1,SIS domain
PF00775,1,Dioxygenase
PF04444,1,Catechol dioxygenase N terminus
PF11017,1,Protein of unknown function (DUF2855)
PF06609,1,Fungal trichothecene efflux pump (TRI12)
PF06032,1,Protein of unknown function (DUF917)
PF12814,1,Meiotic cell cortex C-terminal pleckstrin homology
PF16652,1,Pleckstrin homology domain
PF00471,1,Ribosomal protein L33
PF12850,1,Calcineurin-like phosphoesterase superfamily domain
PF05254,1,Uncharacterised protein family (UPF0203)
PF08581,1,Tup N-terminal
PF03656,1,Pam16
PF06964,1,Alpha-L-arabinofuranosidase C-terminal domain
PF09809,1,Mitochondrial ribosomal protein L27
PF13426,1,PAS domain
PF05187,1,"Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S"
PF07541,1,Eukaryotic translation initiation factor 2 alpha subunit
PF03907,1,Spo7-like protein
PF02811,1,PHP domain
PF07958,1,Protein of unknown function (DUF1688)
PF13347,1,MFS/sugar transport protein
PF08528,1,Whi5 like
PF00833,1,Ribosomal S17
PF03378,1,"CAS/CSE protein, C-terminus"
PF08506,1,Cse1
PF04152,1,Mre11 DNA-binding presumed domain
PF17733,1,Family of unknown function (DUF5572)
PF10373,1,Est1 DNA/RNA binding domain
PF10374,1,Telomerase activating protein Est1
PF00984,1,"UDP-glucose/GDP-mannose dehydrogenase family, central domain"
PF03720,1,"UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain"
PF03721,1,"UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"
PF00649,1,Copper fist DNA binding domain
PF05603,1,Protein of unknown function (DUF775)
PF07986,1,Tubulin binding cofactor C
PF16752,1,Tubulin-specific chaperone C N-terminal domain
PF08624,1,Chromatin remodelling complex Rsc7/Swp82 subunit
PF14938,1,"Soluble NSF attachment protein, SNAP"
PF02403,1,Seryl-tRNA synthetase N-terminal domain
PF06479,1,Ribonuclease 2-5A
PF00830,1,Ribosomal L28 family
PF10358,1,N-terminal C2 in EEIG1 and EHBP1 proteins
PF14288,1,"1,3-beta-glucan synthase subunit FKS1, domain-1"
PF09431,1,"SPIN90/Ldb17, leucine-rich domain"
PF04158,1,Sof1-like domain
PF03643,1,Vacuolar protein sorting-associated protein 26
PF03126,1,Plus-3 domain
PF13874,1,Nucleoporin complex subunit 54
PF00231,1,ATP synthase
PF06423,1,GWT1
PF07767,1,Nop53 (60S ribosomal biogenesis)
PF00384,1,Molybdopterin oxidoreductase
PF09326,1,"NADH-ubiquinone oxidoreductase subunit G, C-terminal"
PF10588,1,NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
PF13510,1,2Fe-2S iron-sulfur cluster binding domain
PF01199,1,Ribosomal protein L34e
PF04669,1,Polysaccharide biosynthesis
PF12063,1,Domain of unknown function (DUF3543)
PF04252,1,Predicted SAM-dependent RNA methyltransferase
PF04758,1,Ribosomal protein S30
PF08514,1,STAG domain
PF09298,1,Fumarylacetoacetase N-terminal
PF08231,1,SYF2 splicing factor
PF07034,1,Origin recognition complex (ORC) subunit 3 N-terminus
PF18137,1,Origin recognition complex winged helix C-terminal
PF09138,1,Urm1 (Ubiquitin related modifier)
PF01018,1,GTP1/OBG
PF07942,1,Carnosine N-methyltransferase
PF00344,1,SecY
PF10559,1,Plug domain of Sec61p
PF14765,1,Polyketide synthase dehydratase
PF01929,1,Ribosomal protein L14
PF05719,1,Golgi phosphoprotein 3 (GPP34)
PF03259,1,Roadblock/LC7 domain
PF03081,1,Exo70 exocyst complex subunit
PF04884,1,Vitamin B6 photo-protection and homoeostasis
PF18149,1,N-terminal helicase PWI domain
PF02077,1,SURF4 family
PF11875,1,"DnaJ-like protein C11, C-terminal"
PF09295,1,ChAPs (Chs5p-Arf1p-binding proteins)
PF02265,1,S1/P1 Nuclease
PF05216,1,UNC-50 family
PF08288,1,PIGA (GPI anchor biosynthesis)
PF13477,1,Glycosyl transferase 4-like
PF01218,1,Coproporphyrinogen III oxidase
PF09180,1,"Prolyl-tRNA synthetase, C-terminal"
PF00464,1,Serine hydroxymethyltransferase
PF03239,1,Iron permease FTR1 family
PF01922,1,SRP19 protein
PF07572,1,Bucentaur or craniofacial development
PF06859,1,Bicoid-interacting protein 3 (Bin3)
PF06418,1,CTP synthase N-terminus
PF11793,1,FANCL C-terminal domain
PF04511,1,Der1-like family
PF18051,1,26S proteasome non-ATPase regulatory subunit RPN1 C-terminal
PF17781,1,RPN1 N-terminal domain
PF16912,1,Glucose dehydrogenase C-terminus
PF00368,1,Hydroxymethylglutaryl-coenzyme A reductase
PF00935,1,Ribosomal protein L44
PF20168,1,Sister chromatid cohesion protein PDS5 protein
PF12569,1,"N-terminal acetyltransferase A, auxiliary subunit"
PF01283,1,Ribosomal protein S26e
PF04614,1,Pex19 protein family
PF14222,1,Cell morphogenesis N-terminal
PF14225,1,Cell morphogenesis C-terminal
PF16413,1,DNA mismatch repair protein Mlh1 C-terminus
PF01765,1,Ribosome recycling factor
PF13881,1,Ubiquitin-2 like Rad60 SUMO-like
PF01775,1,Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A
PF18323,1,Cop9 signalosome subunit 5 C-terminal domain
PF09791,1,"Oxidoreductase-like protein, N-terminal"
PF02268,1,"Transcription initiation factor IIA, gamma subunit, helical domain"
PF02751,1,"Transcription initiation factor IIA, gamma subunit"
PF06544,1,Protein of unknown function (DUF1115)
PF08572,1,pre-mRNA processing factor 3 (PRP3)
PF00252,1,Ribosomal protein L16p/L10e
PF06058,1,Dcp1-like decapping family
PF05470,1,Eukaryotic translation initiation factor 3 subunit 8 N-terminus
PF07814,1,Wings apart-like protein regulation of heterochromatin
PF00653,1,Inhibitor of Apoptosis domain
PF08573,1,DNA endonuclease activator SAE2/CtIP C-terminus
PF08320,1,PIG-X / PBN1
PF00162,1,Phosphoglycerate kinase
PF17811,1,Jumonji helical domain
PF03966,1,Trm112p-like protein
PF01087,1,"Galactose-1-phosphate uridyl transferase, N-terminal domain"
PF02744,1,"Galactose-1-phosphate uridyl transferase, C-terminal domain"
PF08158,1,NUC130/3NT domain
PF03800,1,Nuf2 family
PF18595,1,"Nuf2, DHR10-like domain"
PF20210,1,Laa1/Sip1/HEATR5 HEAT repeat region
PF16886,1,ATPsynthase alpha/beta subunit N-term extension
PF04506,1,Rft protein
PF03439,1,"Early transcription elongation factor of RNA pol II, NGN section"
PF11942,1,"Spt5 transcription elongation factor, acidic N-terminal"
PF12815,1,Spt5 C-terminal nonapeptide repeat binding Spt4
PF02144,1,Repair protein Rad1/Rec1/Rad17
PF04054,1,"CCR4-Not complex component, Not1"
PF12842,1,"CCR4-Not complex, Not1 subunit, domain of unknown function DUF3819"
PF16415,1,CCR4-NOT transcription complex subunit 1 CAF1-binding domain
PF16417,1,CCR4-NOT transcription complex subunit 1 TTP binding domain
PF16418,1,CCR4-NOT transcription complex subunit 1 HEAT repeat
PF09072,1,Translation machinery associated TMA7
PF08232,1,Striatin family
PF01223,1,DNA/RNA non-specific endonuclease
PF11788,1,39S mitochondrial ribosomal protein L46
PF03224,1,V-ATPase subunit H
PF11698,1,V-ATPase subunit H
PF10443,1,RNA12 protein
PF01381,1,Helix-turn-helix
PF08523,1,Multiprotein bridging factor 1
PF10336,1,Protein of unknown function (DUF2420)
PF05645,1,RNA polymerase III subunit RPC82
PF08221,1,RNA polymerase III subunit RPC82 helix-turn-helix domain
PF08644,1,FACT complex subunit (SPT16/CDC68)
PF14826,1,FACT complex subunit SPT16 N-terminal lobe domain
PF03188,1,Eukaryotic cytochrome b561
PF14833,1,NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
PF09369,1,MrfA Zn-binding domain
PF06391,1,CDK-activating kinase assembly factor MAT1
PF17121,1,"Zinc finger, C3HC4 type (RING finger)"
PF16123,1,Hydroxyacylglutathione hydrolase C-terminus
PF09420,1,Ribosome biogenesis protein Nop16
PF09796,1,Ubiquinol-cytochrome-c reductase complex subunit (QCR10)
PF13824,1,Zinc-finger of mitochondrial splicing suppressor 51
PF00475,1,Imidazoleglycerol-phosphate dehydratase
PF01431,1,Peptidase family M13
PF05649,1,Peptidase family M13
PF02724,1,CDC45-like protein
PF03803,1,Scramblase
PF04968,1,CHORD
PF00310,1,Glutamine amidotransferases class-II
PF01493,1,GXGXG motif
PF01645,1,Conserved region in glutamate synthase
PF04898,1,Glutamate synthase central domain
PF14691,1,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster"
PF13878,1,zinc-finger of acetyl-transferase ESCO
PF13880,1,ESCO1/2 acetyl-transferase
PF09260,1,"Alpha-amylase, domain C"
PF05622,1,HOOK protein coiled-coil region
PF19047,1,HOOK domain
PF03381,1,LEM3 (ligand-effect modulator 3) family / CDC50 family
PF00352,1,"Transcription factor TFIID (or TATA-binding protein, TBP)"
PF03641,1,Possible lysine decarboxylase
PF18306,1,SLOG cluster4 family
PF03371,1,PRP38 family
PF01715,1,IPP transferase
PF10394,1,Histone acetyl transferase HAT1 N-terminus
PF09346,1,SMI1 / KNR4 family (SUKH-1)
PF12054,1,Domain of unknown function (DUF3535)
PF01883,1,Iron-sulfur cluster assembly protein
PF14570,1,RING/Ubox like zinc-binding domain
PF01984,1,Double-stranded DNA-binding domain
PF10544,1,T5orf172 domain
PF13455,1,Meiotically up-regulated gene 113
PF05859,1,Mis12 protein
PF01187,1,Macrophage migration inhibitory factor (MIF)
PF12328,1,Rpp20 subunit of nuclear RNase MRP and P
PF18859,1,Actinobacteria/chloroflexi VLRF1 release factor
PF01496,1,V-type ATPase 116kDa subunit family
PF13517,1,FG-GAP-like repeat
PF06911,1,Senescence domain
PF06417,1,Protein of unknown function (DUF1077)
PF04847,1,Calcipressin
PF15913,1,"Furin-like repeat, cysteine-rich"
PF16727,1,DNA repair protein REV1 C-terminal domain
PF13468,1,Glyoxalase-like domain
PF05051,1,Cytochrome C oxidase copper chaperone (COX17)
PF12513,1,Mitochondrial degradasome RNA helicase subunit C terminal
PF08293,1,Mitochondrial ribosomal subunit S27
PF04112,1,"Mak10 subunit, NatC N(alpha)-terminal acetyltransferase"
PF00633,1,Helix-hairpin-helix motif
PF01769,1,Divalent cation transporter
PF10198,1,Histone acetyltransferases subunit 3
PF08208,1,DNA-directed RNA polymerase I subunit RPA34.5
PF04080,1,Per1-like family
PF08883,1,"Dopa 4,5-dioxygenase family"
PF07557,1,Shugoshin C terminus
PF00710,1,"Asparaginase, N-terminal"
PF17763,1,Glutaminase/Asparaginase C-terminal domain
PF01571,1,Aminomethyltransferase folate-binding domain
PF08669,1,Glycine cleavage T-protein C-terminal barrel domain
PF07691,1,PA14 domain
PF00166,1,Chaperonin 10 Kd subunit
PF01127,1,Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF03069,1,Acetamidase/Formamidase family
PF13598,1,Domain of unknown function (DUF4139)
PF01900,1,Rpp14/Pop5 family
PF08652,1,RAI1 like PD-(D/E)XK nuclease
PF02560,1,Cyanate lyase C-terminal domain
PF15377,1,Domain of unknown function (DUF4604)
PF03849,1,Transcription factor Tfb2
PF18307,1,Transcription factor Tfb2 (p52) C-terminal domain
PF04446,1,tRNAHis guanylyltransferase
PF14413,1,Thg1 C terminal domain
PF03932,1,CutC family
PF08622,1,Svf1-like N-terminal lipocalin domain
PF17187,1,Svf1-like C-terminal lipocalin-like domain
PF09696,1,Ctf8
PF07492,1,Neutral trehalase Ca2+ binding domain
PF09731,1,Mitochondrial inner membrane protein
PF00449,1,"Urease alpha-subunit, N-terminal domain"
PF00547,1,"Urease, gamma subunit"
PF00699,1,Urease beta subunit
PF08243,1,SPT2 chromatin protein
PF10366,1,Vacuolar sorting protein 39 domain 1
PF00365,1,Phosphofructokinase
PF08219,1,Outer membrane protein TOM13
PF04263,1,"Thiamin pyrophosphokinase, catalytic domain"
PF04265,1,"Thiamin pyrophosphokinase, vitamin B1 binding domain"
PF13300,1,Domain of unknown function (DUF4078)
PF05185,1,PRMT5 arginine-N-methyltransferase
PF17285,1,PRMT5 TIM barrel domain
PF17286,1,PRMT5 oligomerisation domain
PF06221,1,"Putative zinc finger motif, C2HC5-type"
PF03694,1,Erg28 like protein
PF02696,1,Protein adenylyltransferase SelO
PF13500,1,AAA domain
PF06071,1,Protein of unknown function (DUF933)
PF03095,1,Phosphotyrosyl phosphate activator (PTPA) protein
PF03256,1,"Anaphase-promoting complex, subunit 10 (APC10)"
PF08661,1,Replication factor A protein 3
PF12897,1,Aspartate amino-transferase
PF08202,1,Mis12-Mtw1 protein family
PF13430,1,Domain of unknown function (DUF4112)
PF02270,1,"TFIIF, beta subunit HTH domain"
PF17683,1,"TFIIF, beta subunit N-terminus"
PF10509,1,Galactokinase galactose-binding signature
PF03501,1,Plectin/S10 domain
PF07491,1,Protein phosphatase inhibitor
PF01912,1,eIF-6 family
PF00109,1,"Beta-ketoacyl synthase, N-terminal domain"
PF08354,1,Domain of unknown function (DUF1729)
PF13452,1,N-terminal half of MaoC dehydratase
PF16073,1,Starter unit:ACP transacylase in aflatoxin biosynthesis
PF17828,1,N-terminal domain in fatty acid synthase subunit beta
PF17951,1,Fatty acid synthase meander beta sheet domain
PF18314,1,Fatty acid synthase type I helical domain
PF18325,1,Fatty acid synthase subunit alpha Acyl carrier domain
PF19278,1,Hydantoinase/oxoprolinase C-terminal domain
PF03746,1,LamB/YcsF family
PF02626,1,"Carboxyltransferase domain, subdomain A and B"
PF02682,1,"Carboxyltransferase domain, subdomain C and D"
PF00132,1,Bacterial transferase hexapeptide (six repeats)
PF04072,1,Leucine carboxyl methyltransferase
PF04577,1,Glycosyltransferase 61
PF04083,1,Partial alpha/beta-hydrolase lipase region
PF00218,1,Indole-3-glycerol phosphate synthase
PF00697,1,N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF08518,1,Spa2 homology domain (SHD) of GIT
PF10455,1,Bin/amphiphysin/Rvs domain for vesicular trafficking
PF12465,1,Proteasome beta subunits C terminal
PF14616,1,"Transcription regulator Rua1, C-terminal"
PF05693,1,Glycogen synthase
PF08323,1,Starch synthase catalytic domain
PF10163,1,Transcription factor e(y)2
PF05712,1,MRG
PF04719,1,hTAFII28-like protein conserved region
PF04699,1,ARP2/3 complex 16 kDa subunit (p16-Arc)
PF05652,1,Scavenger mRNA decapping enzyme (DcpS) N-terminal
PF11816,1,Domain of unknown function (DUF3337)
PF10417,1,C-terminal domain of 1-Cys peroxiredoxin
PF00264,1,Common central domain of tyrosinase
PF08638,1,Mediator complex subunit MED14
PF12929,1,Stretch-activated Ca2+-permeable channel component
PF00590,1,Tetrapyrrole (Corrin/Porphyrin) Methylases
PF12152,1,Eukaryotic translation initiation factor 4G1
PF05557,1,Mitotic checkpoint protein
PF03235,1,Protein of unknown function DUF262
PF07470,1,Glycosyl Hydrolase Family 88
PF11817,1,Foie gras liver health family 1
PF09924,1,"Phosphatidylglycerol lysyltransferase, C-terminal"
PF05178,1,KRI1-like family
PF12936,1,KRI1-like family C-terminal
PF00648,1,Calpain family cysteine protease
PF01067,1,"Calpain large subunit, domain III"
PF04179,1,Rit1 DUSP-like domain
PF17184,1,Rit1 N-terminal domain
PF00810,1,ER lumen protein retaining receptor
PF03388,1,Legume-like lectin family
PF02752,1,"Arrestin (or S-antigen), C-terminal domain"
PF03248,1,Rer1 family
PF00221,1,Aromatic amino acid lyase
PF18477,1,PIN like domain
PF02201,1,SWIB/MDM2 domain
PF01869,1,BadF/BadG/BcrA/BcrD ATPase family
PF12813,1,XPG domain containing
PF03311,1,Cornichon protein
PF10021,1,Uncharacterized protein conserved in bacteria (DUF2263)
PF05495,1,CHY zinc finger
PF01120,1,Alpha-L-fucosidase
PF10615,1,Domain of unknown function (DUF2470)
PF14934,1,Transmembrane protein 254
PF04889,1,Cwf15/Cwc15 cell cycle control protein
PF04869,1,"Uso1 / p115 like vesicle tethering protein, head region"
PF04871,1,"Uso1 / p115 like vesicle tethering protein, C terminal region"
PF01930,1,Domain of unknown function DUF83
PF08696,1,DNA replication factor Dna2
PF08492,1,SRP72 RNA-binding domain
PF17004,1,Putative TPR-like repeat
PF04696,1,pinin/SDK/memA/ protein conserved region
PF08939,1,Domain of unknown function (DUF1917)
PF13466,1,STAS domain
PF05922,1,Peptidase inhibitor I9
PF00725,1,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"
PF02737,1,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain"
PF13802,1,Galactose mutarotase-like
PF18596,1,Sld7 C-terminal domain
PF10153,1,rRNA-processing protein Efg1
PF04762,1,IKI3 family
PF01817,1,Chorismate mutase type II
PF18808,1,Importin repeat
PF18829,1,Importin repeat 6
PF12074,1,Generalcontrol nonderepressible 1 (Gcn1) N-terminal
PF04734,1,"Neutral/alkaline non-lysosomal ceramidase, N-terminal"
PF17048,1,"Neutral/alkaline non-lysosomal ceramidase, C-terminal"
PF09497,1,Transcription mediator complex subunit Med12
PF01244,1,Membrane dipeptidase (Peptidase family M19)
PF00784,1,MyTH4 domain
PF19189,1,Mtf2 family
PF18031,1,Ubiquitin carboxyl-terminal hydrolases
PF05669,1,SOH1
PF04106,1,Autophagy protein Apg5
PF01842,1,ACT domain
PF10369,1,Small subunit of acetolactate synthase
PF13710,1,ACT domain
PF18833,1,Tetratricopeptide repeat
PF12505,1,Protein of unknown function (DUF3712)
PF01293,1,Phosphoenolpyruvate carboxykinase
PF09424,1,Yqey-like protein
PF01513,1,ATP-NAD kinase N-terminal domain
PF06920,1,"DHR-2, Lobe A"
PF14429,1,C2 domain in Dock180 and Zizimin proteins
PF16172,1,DOCK N-terminus
PF20421,1,"DHR-2, Lobe C"
PF09382,1,RQC domain
PF11571,1,Mediator complex subunit 27
PF04188,1,Mannosyltransferase (PIG-V)
PF04912,1,Dynamitin
PF02823,1,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain"
PF03074,1,Glutamate-cysteine ligase
PF04111,1,Apg6 BARA domain
PF17675,1,Apg6 coiled-coil region
PF03737,1,Aldolase/RraA
PF01833,1,IPT/TIG domain
PF08911,1,NUP50 (Nucleoporin 50 kDa)
PF09830,1,ATP adenylyltransferase C-terminal domain
PF16269,1,Domain of unknown function (DUF4922)
PF19327,1,Ap4A phosphorylase N-terminal domain
PF03525,1,Meiotic recombination protein Rec7 N-terminal domain
PF20173,1,Family of unknown function (DUF6539)
PF00766,1,Electron transfer flavoprotein FAD-binding domain
PF09754,1,PAC2 family
PF08161,1,NUC173 domain
PF04824,1,Conserved region of Rad21 / Rec8 like protein
PF04825,1,N terminus of Rad21 / Rec8 like protein
PF03208,1,PRA1 family protein
PF20174,1,Family of unknown function (DUF6540)
PF04115,1,Ureidoglycolate lyase
PF08172,1,CASP C terminal
PF08567,1,"TFIIH p62 subunit, N-terminal domain"
PF06888,1,Putative Phosphatase
PF20144,1,TIG domain
PF16093,1,Proteasome assembly chaperone 4
PF04387,1,"Protein tyrosine phosphatase-like protein, PTPLA"
PF02179,1,BAG domain
PF04433,1,SWIRM domain
PF16495,1,SWIRM-associated region 1
PF19302,1,Domain of unknown function (DUF5915)
PF00490,1,Delta-aminolevulinic acid dehydratase
PF10261,1,Inositol phospholipid synthesis and fat-storage-inducing TM
PF07722,1,Peptidase C26
PF04032,1,RNAse P Rpr2/Rpp21/SNM1 subunit domain
PF17800,1,Nucleoplasmin-like domain
PF05856,1,ARP2/3 complex 20 kDa subunit (ARPC4)
PF01058,1,"NADH ubiquinone oxidoreductase, 20 Kd subunit"
PF05346,1,Eukaryotic membrane protein family
PF02110,1,Hydroxyethylthiazole kinase family
PF02581,1,Thiamine monophosphate synthase
PF05721,1,Phytanoyl-CoA dioxygenase (PhyH)
PF06395,1,CDC24 Calponin
PF04406,1,Type IIB DNA topoisomerase
PF05621,1,Bacterial TniB protein
PF07535,1,DBF zinc finger
PF08630,1,"Dfp1/Him1, central region"
PF01536,1,Adenosylmethionine decarboxylase
PF06916,1,FAM210A/B-like domain
PF12768,1,Cortical protein marker for cell polarity
PF12756,1,C2H2 type zinc-finger (2 copies)
PF02045,1,CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B
PF00416,1,Ribosomal protein S13/S18
PF12804,1,MobA-like NTP transferase domain
PF05496,1,Holliday junction DNA helicase RuvB P-loop domain
PF12002,1,MgsA AAA+ ATPase C terminal
PF16193,1,AAA C-terminal domain
PF03834,1,Binding domain of DNA repair protein Ercc1 (rad10/Swi10)
PF14520,1,Helix-hairpin-helix domain
PF09757,1,Arb2 domain
PF08508,1,Fungal domain of unknown function (DUF1746)
